star,title,quote,num,link,article
8.0,"

    她他


    

  ","▼英国战后最伟大的作家简·莫里斯（Jan Morris）
▼跨性别者最著名的内心独白
▼我们每个人都是一个程度不同的雌雄混合体
▼女人的细腻和男人的果敢
“... ","
        (111人评价)
    ",https://book.douban.com/subject/26862163/,"
        
  
  [英] 简·莫里斯 / 郁飞 / 湖岸出版/外语教学与研究出版社 / 2016-8 / 36

      "
8.0,"

    耻


    

  ",在这部作品中，库切以几乎不加藻饰、令人心怵的笔调，讲述了开普技术大学文学与传播学教授，小说情节主要由四部分组成:第一部分以卢里的一桩丑闻(勾引了一位大学二年... ,"
        (2191人评价)
    ",https://book.douban.com/subject/1077638/,"
        
  
  （南非）J.M.库切 / 张冲、郭整风 / 译林出版社 / 2003-10 / 16.80

      "
8.7,"

    萧伯纳戏剧选


    
      ,

  ","图书目录
前 言
华伦夫人的职业(1894)
匹克梅梁(1912)
圣女贞德(1923)
苹果车(1929)
附录1：1925年诺贝尔文学奖授奖辞
附录2：... ","
        (196人评价)
    ",https://book.douban.com/subject/1950749/,"
        
  
  [爱尔兰] 乔治·萧伯纳、George Bernard Shaw / 潘家洵、申慧辉、老舍、杨宪益 / 作家出版社 / 2006-11 / 33.00元

      "
8.1,"

    福楼拜的鹦鹉


    

  ",《福楼拜的鹦鹉》曾入围1984年英国布克奖决选名单，并获得杰弗里·费伯纪念奖，一举奠定了朱利安·巴恩斯在英国文坛的重要地位。福楼拜的两处故居都有一只鹦鹉标本... ,"
        (422人评价)
    ",https://book.douban.com/subject/4869637/,"
        
  
  朱利安·巴恩斯 / 石雅芳 / 译林出版社 / 2010-5 / 23.00元

      "
8.1,"

    美洲纳粹文学


    

  ","《2666》作者 向博尔赫斯《恶棍列传》致敬之作
一部跨越美洲的百年怪谈
这是一部伪造的作家辞典。
◎本书收录了92 名文坛恶棍，怪人，骗子，疯子，以及神秘... ","
        (737人评价)
    ",https://book.douban.com/subject/25837539/,"
        
  
  [智利] 罗贝托·波拉尼奥 / 赵德明 / 上海人民出版社 / 2014-5-1 / 45.00元

      "
8.0,"

    东方故事集


    

  ",本书作者尤瑟纳尔选取了中国、南斯拉夫、阿尔巴尼亚、希腊、印度、日本的故事、传说和神话作为这些历史小说的题材。尤瑟纳尔并不止于从东方的传奇和神话故事中猎奇，她... ,"
        (587人评价)
    ",https://book.douban.com/subject/3024319/,"
        
  
  (法)玛格丽特·尤瑟纳尔 / 郑克鲁 / 上海三联书店 / 2007-12 / 15.00元

      "
7.8,"

    我已经结婚了  我心情还不好


    

  ","“我是自行车手。我是丈夫、父亲、儿子和员工。还是房产所有者。以及一堆其他身份。我想逃。”
◆北欧头号畅销小说《我是个年轻人，我心情不太好》第二季，畅销十年不... ","
        (782人评价)
    ",https://book.douban.com/subject/26108007/,"
        
  
  [挪威]阿澜·卢 / 宁蒙 / 浙江文艺出版社 / 2014-11 / 35.00元

      "
7.5,"

    你好，忧愁


    

  ",小说的主人公少女塞茜尔，生性浪漫不羁，跟同为浪荡子的父亲过着随心所欲的荒唐日子，不愿意把自己的生活纳入到正规的轨道。为此，她竭力阻挠鳏居多年的父亲雷蒙和其女... ,"
        (8353人评价)
    ",https://book.douban.com/subject/1455933/,"
        
  
  [法] 弗朗索瓦丝·萨冈 / 余中先、谭立德、金龙格 / 人民文学出版社 / 2006-1 / 24.00元

      "
8.6,"

    夏日遇见狄更斯


    
      ,

  ","如果遇见狄更斯、王尔德、海明威、爱伦·坡……你会对他们说什么？
且看老雷借幻想之力穿越时光，复活昔日的文坛巨星，为他们安排另一段精彩人生。
幻想文学大师雷•... ","
        (129人评价)
    ",https://book.douban.com/subject/26834592/,"
        
  
  [美] 雷·布拉德伯里 / 刘媛、时雨、曹浏、仇春卉、徐黄兆 等 / 新星出版社 / 2016-8-1 / 40

      "
8.7,"

    童年与故乡


    

  ",《童年与故乡》出版于1934年，是作者童年生活的记录。四十篇散文，两百幅漫画，非常生动有趣地描述了他的童年，家庭，学校，军队，初恋等天真烂漫的生活履历，同时... ,"
        (1585人评价)
    ",https://book.douban.com/subject/5383175/,"
        
  
  [挪威] 古尔布兰生 / 吴朗西  译、丰子恺  书 / 新星出版社 / 2010-11 / 78.00元

      "
